A0,A1,A2,A3,A4,Time,Type
4,5,3,2,1,0.00000359979458,bubble
4,3,5,2,1,0.00001239986159,bubble
4,3,2,5,1,0.00001469999552,bubble
4,3,2,1,5,0.00001590000466,bubble
3,4,2,1,5,0.00001709978096,bubble
3,2,4,1,5,0.00001799990423,bubble
3,2,1,4,5,0.00001889979467,bubble
2,3,1,4,5,0.00001979991794,bubble
2,1,3,4,5,0.00002069980837,bubble
1,2,3,4,5,0.00002139993012,bubble
